@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-01,1993-01-01,37.06709,37.06709,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-02,1993-02-01,37.27705,37.27705,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-03,1993-03-01,37.96701,37.96701,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-04,1993-04-01,39.06402,39.06402,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-05,1993-05-01,39.64885,39.64885,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-06,1993-06-01,39.59399,39.59399,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-07,1993-07-01,39.31966,39.31966,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-08,1993-08-01,40.16232,40.16232,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-09,1993-09-01,41.21659,41.21659,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-10,1993-10-01,41.5161,41.5161,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-11,1993-11-01,41.87596,41.87596,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1993-12,1993-12-01,43.14175,43.14175,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-01,1994-01-01,44.88825,44.88825,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-02,1994-02-01,45.92533,45.92533,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-03,1994-03-01,46.47161,46.47161,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-04,1994-04-01,47.54092,47.54092,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-05,1994-05-01,48.09406,48.09406,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-06,1994-06-01,48.54223,48.54223,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-07,1994-07-01,48.75638,48.75638,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-08,1994-08-01,50.5242,50.5242,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-09,1994-09-01,52.46872,52.46872,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-10,1994-10-01,53.01606,53.01606,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-11,1994-11-01,53.39185,53.39185,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1994-12,1994-12-01,54.1429,54.1429,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1995-01,1995-01-01,55.70632,55.70632,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1995-02,1995-02-01,56.2126,56.2126,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1995-03,1995-03-01,56.37007,56.37007,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
monthly,IMF,CPI,Consumer Price Index (CPI),M.CN.PCPI_IX,"Monthly – China – Consumer Price Index, All items",1995-04,1995-04-01,57.38189,57.38189,M,CN,PCPI_IX,Monthly,China,"Consumer Price Index, All items"
